V,G
20.86327,0.98890084
20.42216,0.989154622
19.95814,0.990072269
19.50288,0.990572269
19.15488,0.989023529
18.71812,0.988410924
17.99066,1.001308403
17.50587,1.006751261
17.146,1.007514286
16.78087,1.00584958
16.30732,1.004705882
15.86666,1.006510084
15.45423,1.008340336
15.19468,1.006060504
14.73916,1.004237815
14.38338,1.003529412
13.95511,1.00187563
13.60737,1.00134958
13.11889,1.002781513
12.77271,1.000007563
12.42666,0.999347899
11.97407,1.001372269
11.55372,1.001027731
11.17172,1.001184874
10.75403,1.000306723
10.36587,0.999439496
9.962783,0.997789916
9.536336,1.000710924
9.142138,1.00352605
8.7689,1.003747899
8.345632,1.004294118
7.923987,1.005127731
7.573979,1.006038655
7.164143,1.007603361
6.737761,1.009419328
6.387947,1.011915126
5.940476,1.014539496
5.547642,1.019110924
5.131058,1.023
4.804863,1.028460504
4.366152,1.038085714
3.975069,1.049565546
3.652509,1.059147899
3.270575,1.065590756
2.862751,1.076873109
2.525331,1.086423529
2.110953,1.089285714
1.721752,1.085131092
1.352083,1.073954622
1.011808,1.054878151
0.6109266,1.034293277
0.2050492,1.021310084
-0.1715636,1.016263025
-0.557066,1.018687395
-0.9637221,1.029932773
-1.359088,1.048473109
-1.70384,1.066821849
-2.104332,1.082170588
-2.453172,1.088494118
-2.866317,1.087992437
-3.262591,1.079394958
-3.592224,1.071212605
-3.963971,1.061002521
-4.398334,1.049201681
-4.792986,1.040208403
-5.14812,1.032411765
-5.557307,1.02517479
-5.970971,1.018889916
-6.359004,1.013026891
-6.72796,1.009455462
-7.133059,1.006296639
-7.530825,1.003905882
-7.929695,1.002057983
-8.36023,1.001911765
-8.740801,0.999907563
-9.150637,1.000503361
-9.518944,1.000562185
-9.905744,1.00174958
-10.31532,1.001469748
-10.73911,1.001176471
-11.15095,1.001705882
-11.58279,1.000684034
-11.9607,0.9992
-12.3876,0.998904202
-12.76317,0.999510924
-13.17541,0.999707563
-13.59615,0.999754622
-13.97594,0.999773109
-14.43898,0.996894118
-14.78302,0.999016807
-15.16833,1.000582353
-15.62956,1.000676471
-16.02681,1.001162185
-16.41912,1.002760504
-16.81845,1.002694118
-17.30303,1.000272269
-17.79171,0.99567395
-18.16417,0.994543697
-18.44027,0.997536134
-18.86289,1.000656303
-19.20822,1.002117647
-19.78664,0.999902521
-20.27603,0.996001681
-20.58522,0.996789076
-21.06319,0.994798319
-21.48581,0.994742017
-21.99966,0.991866387
-22.27531,0.995379832
-22.80149,0.996678151
-23.17661,0.99627479
-23.63803,0.995368067
-24.05864,0.995270588
-24.41261,0.998121008
-24.78098,0.999380672
-25.09867,1.000631092
-25.82627,0.997640336
-26.05338,1.001712605
